review_id,trace_name,filename,event,region,Subset,primary_long_mixed,source_duration_s,reference_s,reference_grid_s,fixed_end_s,shift_s,shifted_start_s,energy_change_pct,fas_smoothed_l2_pct,psa_l2_pct
18,acIBR0091103091145,acIBR0091103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,holdout_evaluation,True,230.95000000000002,63.00200195,63.0,230.95000000000002,-10,53.0,5.7813588068255095,7.640570893249082,5.048086727647216
18,acIBR0091103091145,acIBR0091103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,holdout_evaluation,True,230.95000000000002,63.00200195,63.0,230.95000000000002,-5,58.0,2.255214078724066,4.280167287414654,4.137184287735489
18,acIBR0091103091145,acIBR0091103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,holdout_evaluation,True,230.95000000000002,63.00200195,63.0,230.95000000000002,0,63.0,0.0,0.0,0.0
18,acIBR0091103091145,acIBR0091103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,holdout_evaluation,True,230.95000000000002,63.00200195,63.0,230.95000000000002,5,68.0,-1.8181176546561706,5.094124177349988,5.9467531592074625
18,acIBR0091103091145,acIBR0091103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,holdout_evaluation,True,230.95000000000002,63.00200195,63.0,230.95000000000002,10,73.0,-9.01529368142997,16.71993131032917,13.500225806935337
19,acSIT0031103091145,acSIT0031103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,training,True,267.91,90.81400391,90.81,267.91,-10,80.81,6.5513052068242095,7.746148784865091,3.827422256715693
19,acSIT0031103091145,acSIT0031103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,training,True,267.91,90.81400391,90.81,267.91,-5,85.81,4.418740703345181,3.4533836127915225,2.0373576396184845
19,acSIT0031103091145,acSIT0031103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,training,True,267.91,90.81400391,90.81,267.91,0,90.81,0.0,0.0,0.0
19,acSIT0031103091145,acSIT0031103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,training,True,267.91,90.81400391,90.81,267.91,5,95.81,-2.816017607472665,3.687516977056822,2.3821929148724563
19,acSIT0031103091145,acSIT0031103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,training,True,267.91,90.81400391,90.81,267.91,10,100.81,-8.026677858153741,9.580713042056017,9.067736222430414
20,acSIT0101103091145,acSIT0101103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,holdout_evaluation,False,214.95000000000002,63.37899902,63.38,214.95000000000002,-10,53.38,1.7677500987092198,2.143274935391451,1.6187379042003105
